Endpoint,Domain,HTTP method,Name,Server,담당자,상태,요구사항명세서 ID,토큰
/auth/email-verification,회원관리,POST,AUTH-001 이메일 인증,Web,areum cho,완료,REQ-AUTH-001,No
/auth/email-verification/confirm,,POST,AUTH-002 이메일 인증 확인,Web,areum cho,완료,"REQ-AUTH-001, REQ-AUTH-007",No
/auth/signup,,POST,AUTH-003 회원가입,Web,areum cho,완료,REQ-AUTH-001,No
/auth/login,,POST,AUTH-004 로그인,Web,체하딤,완료,REQ-AUTH-002,No
/auth/token/refresh,,POST,AUTH-005 토큰 재발급,Web,체하딤,완료,REQ-AUTH-002,Yes
/tokens,토큰,GET,TOKE-001 토큰 잔액 조회,Web,,시작 전,REQ-TOKE-001,Yes
/auth/kakao,,POST,AUTH-006 카카오 로그인,Web,,시작 전,REQ-AUTH-003,No
/auth/kakao/callback,,POST,AUTH-006 카카오 콜백 처리,Web,,시작 전,REQ-AUTH-003,No
/users/me,,GET,AUTH-007 내 정보 조회,Web,,시작 전,,Yes
/users/me,,PATCH,AUTH-008 내 정보 수정,Web,,시작 전,,Yes
/users/me/password,,PATCH,AUTH-009 비밀번호 변경,Web,,시작 전,,Yes
/auth/logout,,POST,AUTH-012 로그아웃,Web,,시작 전,,Yes
/users/me,,DELETE,AUTH-013 회원 탈퇴,Web,,시작 전,,Yes
/auth/email-verifications,,POST,AUTH-010 비밀번호 찾기 인증,Web,,시작 전,,No
/auth/password/reset,,POST,AUTH-011 비밀번호 찾기 완료,Web,,시작 전,,No
/characters/source-images,캐릭터,POST,CHAR-001 캐릭터 생성용 이미지 업로드 URL 발급,Web,,시작 전,,Yes
Web 공통 규칙,공통,,공통 규칙,Web,,시작 전,,No
/characters/generation-jobs,,POST,CHAR-002 캐릭터 AI 생성 Job,Web,,시작 전,,Yes
/characters?limit=20&cursor…,,GET,CHAR-005 캐릭터 목록 조회,Web,,시작 전,,Yes
/characters/{character_id},,GET,CHAR-006 캐릭터 상세 조회,Web,,시작 전,,Yes
/tokens/transactions?limit=20&cursor=…,,GET,TOKE-002 토큰 거래 내역 조회,Web,,시작 전,,Yes
/notifications?limit=20&cursor=…,알림,GET,NOTI-001 알림 기록 조회,Web,,시작 전,REQ-NOTI-001,Yes
/notifications/{notification_id},,PATCH,NOTI-002 알림 읽음 처리,Web,,시작 전,REQ-NOTI-001,Yes
/pomodoro-sessions,포모도로,POST,POMO-001 포모도로 세션 시작,,,시작 전,,Yes
/characters/generation-jobs/{job_id},,GET,CHAR-003 캐릭터 AI 생성 Job 조회,Web,,시작 전,,Yes
/characters,,POST,CHAR-004 캐릭터 등록,Web,,시작 전,,Yes
AI 공통 규칙,,,,AI,,시작 전,,No
/characters/{character_id},,DELETE,CHAR-007 캐릭터 삭제,Web,,시작 전,,Yes
/reflections/drafts,회고,POST,LOGS-001 알림 회고 알람,Web,,시작 전,,Yes
/characters/{character_id}/quests?status=active,퀘스트,GET,QUES-001 캐릭터별 퀘스트 조회,Web,,시작 전,,Yes
/reflections,,POST,LOGS-002 회고 확정,Web,,시작 전,,Yes
/reflections/{date},,GET,LOGS-003 날짜별 회고 조회,Web,,시작 전,,Yes
/reflections/{reflection_id},,PATCH,LOGS-004 회고 수정,Web,,시작 전,,Yes
/todo,TODO,POST,TODO-001 TODO 생성(싱글턴),Web,areum cho,진행 중,,Yes
/todo/confirm,,POST,TODO-005 TODO 확정(싱글턴),Web,,시작 전,,Yes
,,,,,,시작 전,,No
,,,,,,시작 전,,No
,,,,,,시작 전,,No
,,,,,,시작 전,,No
/todo/generate,,POST,TODO-003 TODO 후보 생성(싱글턴),"AI, Web",,시작 전,,Yes
/todo/chat,,POST,TODO-004 TODO 후보 생성(멀티턴),"AI, Web",,시작 전,,Yes
/todo/commit,,POST,TODO-004 확정된 TODO/일정 후보 커밋,"AI, Web",,시작 전,,Yes
/characters,,POST,QUES-002 캐릭터 생성,"AI, Web",,시작 전,,Yes
/todo/chat,,POST,TODO-002 TOOD 생성(멀티턴),Web,,시작 전,,Yes
/quest,,POST,QUES-002 퀘스트 생성,AI,,시작 전,,No
